"","dbn","location_category_description","longitude","latitude","school_name","total_enrollment","n_female","p_female","n_male","p_male","n_asian","p_asian","n_black","p_black","n_hispanic","p_hispanic","n_multi_racial","p_multi_racial","n_native_american","p_native_american","n_white","p_white","n_missing_race_ethnicity_data","p_missing_race_ethnicity_data","n_students_with_disabilities","p_students_with_disabilities","n_english_language_learners","p_english_language_learners","n_poverty","p_poverty","economic_need_index","row_id"
"1","15K001","Elementary",-74.01142,40.648959,"P.S. 001 The Bergen",1087,559,51.4,528,48.6,83,7.6,13,1.2,957,88,1,0.1,1,0.1,32,2.9,0,0,198,18.2,422,38.8,"933",85.8,89.1,1
"2","17K002","Junior High-Intermediate-Middle",-73.951575,40.656423,"Parkside Preparatory Academy",431,220,51,211,49,18,4.2,319,74,65,15.1,2,0.5,11,2.6,16,3.7,0,0,94,21.8,65,15.1,"370",85.8,82.5,2
"3","13K003","Elementary",-73.955219,40.682311,"P.S. 003 The Bedford Village",302,137,45.4,165,54.6,32,10.6,217,71.9,29,9.6,13,4.3,2,0.7,9,3,0,0,61,20.2,21,7,"270",89.4,88,3
"4","75K004","Elementary",-73.879276,40.6585,"P.S. K004",323,73,22.6,250,77.4,24,7.4,179,55.4,94,29.1,0,0,7,2.2,19,5.9,0,0,322,99.7,77,23.8,"280",86.7,89.4,4
"5","16K005","Elementary",-73.92197,40.685241,"P.S. 005 Dr. Ronald McNair",248,124,50,124,50,5,2,182,73.4,42,16.9,1,0.4,1,0.4,17,6.9,0,0,70,28.2,13,5.2,"200",80.6,82.2,5
"6","17K006","Elementary",-73.956279,40.648973,"Norma Adams Clemons Academy",641,317,49.5,324,50.5,7,1.1,459,71.6,139,21.7,1,0.2,8,1.2,27,4.2,0,0,139,21.7,121,18.9,"535",83.5,87.1,6
"7","19K007","Elementary",-73.872983,40.689213,"P.S. 007 Abraham Lincoln",784,406,51.8,378,48.2,40,5.1,57,7.3,657,83.8,0,0,13,1.7,17,2.2,0,0,149,19,164,20.9,"736",93.9,86.8,7
"8","13K008","K-8",-73.992841,40.700709,"P.S. 008 Robert Fulton",688,325,47.2,363,52.8,45,6.5,27,3.9,77,11.2,63,9.2,3,0.4,473,68.8,0,0,64,9.3,15,2.2,"73",10.6,9.7,8
"9","13K009","Elementary",-73.966333,40.678554,"Public School 9 The Sarah Smith Garnet School",937,477,50.9,460,49.1,88,9.4,370,39.5,155,16.5,21,2.2,8,0.9,295,31.5,0,0,153,16.3,19,2,"359",38.3,38.9,9
"10","15K010","Elementary",-73.985946,40.660912,"Magnet School of Math, Science and Design Technolo",956,469,49.1,487,50.9,94,9.8,76,7.9,246,25.7,51,5.3,4,0.4,485,50.7,0,0,199,20.8,46,4.8,"211",22.1,30,10
